prime_key,dataset_id,as_of_date,company_name,followers_count,employees_on_platform,link,industry,date_added,date_update,description,website,entity_id,cusip,isin
1407594,2015064,2017-11-01,"Rockstar Games",116963,2296,https://www.linkedin.com/company/6684,"Computer Games","2017-11-01 01:08:18+00","2017-11-01 01:08:18+00","Want to be a part of a tight-knit team responsible for creating and publishing some of the most popular and critically-acclaimed games in the world including such videogame franchises as Grand Theft Auto, Max Payne, Red Dead and much more?

At Rockstar Games, we focus intently on quality and content to proudly produce exactly the kind of games we would want to play ourselves.

A career at Rockstar Games is about passion and commitment, to the projects and to each other, all the while working on some of the most creatively rewarding and challenging projects to be found in any entertainment medium with some of the most talented people in the industry.

We offer successful candidates a highly competitive salary and compensation package including a comprehensive benefits package for all full-time hires. 

Rockstar Games is an equal opportunity employer.

If you have any questions about Rockstar Games unrelated to job opportunities, please direct them to mouthoff@rockstargames.com or visit rockstargames.com/newswire",,,,
1407597,2208069,2017-11-01,"HandyLab, Inc.",46,11,https://www.linkedin.com/company/144063,"Medical Devices","2017-11-01 08:32:09+00","2017-11-01 08:32:09+00",,,,,
1407609,2130118,2017-11-01,"Newton Hospitality Inc",1,1,https://www.linkedin.com/company/6571799,"Staffing and Recruiting","2017-11-01 04:25:18+00","2017-11-01 04:25:18+00",,,,,
1407629,2209685,2017-11-01,"Comstock Resources",3266,98,https://www.linkedin.com/company/137315,"Oil & Energy","2017-11-01 11:08:04+00","2017-11-01 11:08:04+00","Comstock Resources, Inc., headquartered in Frisco, Texas is a growing independent energy company engaged in the acquisition, development, production and exploration of oil and natural gas.  Our operations are primarily focused in Texas, Louisiana and the Mid-Continent area.  We are focused on growth, and we are active in tight gas sands, shale gas plays and conventional exploration.",,,,
1407680,2025498,2017-11-01,Daegis,2270,57,https://www.linkedin.com/company/31275,"Information Technology and Services","2017-11-01 00:24:56+00","2017-11-01 00:24:56+00","Daegis Inc. delivers innovative and leading edge technologies that enable companies to meet their information governance and data retention objectives in an efficient and cost effective manner. Customers migrate their applications and email systems to modern frameworks and platforms respectively using Daegis’ Composer Migration products, mobilize their business applications with the TD Mobile development environment, store large amounts of data while conducting ECA and data analysis with the AXS-One archiving solution and manage the litigation lifecycle with the Daegis eDiscovery Edge platform. 

Approximately 20% of Fortune 100 companies use our solutions. 

We are headquartered in Irving, Texas and serve our worldwide customer base through our offices in California, New Jersey, Australia, Canada, Germany, Switzerland and the UK.",,,,
1407687,2091723,2017-11-01,"Sony Electronics Professional Solutions Americas",9382,181,https://www.linkedin.com/company/2531011,"Consumer Electronics","2017-11-01 02:42:52+00","2017-11-01 02:42:52+00","Sony Electronics’ Professional Solutions Americas group develops and manufactures video and audio technologies for a range of professional production applications. These include broadcast television and motion picture production, live event production, ENG/EFP, digital cinematography, and more. Sony professional technologies are used in a range of market segments including faith, healthcare, education, corporate and sports, among others. 

www.sony.com/professional",,,,
1407697,2204047,2017-11-01,"Muscatine Journal",54,11,https://www.linkedin.com/company/1300375,Newspapers,"2017-11-01 08:19:59+00","2017-11-01 08:19:59+00",,,,,
1407727,2025282,2017-11-01,"Royal Caribbean Cruises Ltd.",186161,13311,https://www.linkedin.com/company/165777,"Leisure, Travel & Tourism","2017-11-01 01:36:05+00","2017-11-01 01:36:05+00","Royal Caribbean Cruises Ltd. (NYSE: RCL) is a global cruise vacation company that owns and operates three global brands: Royal Caribbean International, Celebrity Cruises and Azamara Club Cruises.  We are a 50% joint venture owner of the German brand TUI Cruises, a 49% interest in the Spanish brand Pullmantur and a minority interest in SkySea cruises. Together, these brands operate a combined total of 49 ships with an additional thirteen on order.  They operate diverse itineraries around the world that call on approximately 535 destinations on all seven continents.",,,,
1407728,2107432,2017-11-01,"SWM International",4163,716,https://www.linkedin.com/company/415486,"Paper & Forest Products","2017-11-01 03:30:47+00","2017-11-01 03:30:47+00","About SWM (NYSE: SWM)

With a long history as an innovator and specialty paper manufacturer, SWM has earned a global reputation as a leader in highly-technical, exacting materials that are critical components of our customers’ end products. Today, we produce our traditional papers, plus other engineered papers and new offerings, like a portfolio of resin-based materials and structures that serve a broad spectrum of industries and applications.  SWM's Advanced Materials & Structures segment, which focuses on resin-based rolled goods, includes DelStar Technologies (acquired in 2013), Argotec (acquired in 2015), and other recent acquisitions, including the recent announcement of the pending acquisition of Conwed. These acquisitions expanded the company's product portfolio and end segments served, including filtration, medical and specialty industrials. SWM and its subsidiaries conduct business in over 90 countries and employ approximately 3,000 people worldwide, with operations in the United States, United Kingdom, France, Russia, Spain, Luxembourg, Brazil, Canada, Poland and China, including two joint ventures.",,,,
1407749,2223771,2017-11-01,"Commnet Wireless",441,53,https://www.linkedin.com/company/141909,Telecommunications,"2017-11-01 08:45:36+00","2017-11-01 08:45:36+00","Commnet Wireless is a premier wholesale wireless carrier in the United States. Our focus is providing domestic and international wireless partners with affordable roaming service in rural areas throughout the United States, while maintaining the quality and features that wireless subscribers have come to expect.",,,,
1407750,2220187,2017-11-01,"Henry Pratt",201,96,https://www.linkedin.com/company/1525646,"Mechanical or Industrial Engineering","2017-11-01 09:24:15+00","2017-11-01 09:24:15+00",,,,,
1407752,2220844,2017-11-01,"AVX corporation",705,217,https://www.linkedin.com/company/1527589,"Electrical/Electronic Manufacturing","2017-11-01 09:28:34+00","2017-11-01 09:28:34+00",,,,,
1407753,2222422,2017-11-01,"Stock Building Supply is now BMC!",7326,1455,https://www.linkedin.com/company/13176,"Building Materials","2017-11-01 08:38:15+00","2017-11-01 08:38:15+00","BMC and Stock Building Supply combined under the single brand name “BMC” to serve our customers even better. The rebranding rollout is expected complete by the end of 2017. Over time, you will see the BMC brand on our entire presence in the market and online.

Please follow BMC's LinkedIn page for continued updates and click on FOLLOW BMC!  There you will find our most up to date company information and employment opportunities.  

Together, as a leading building materials and solutions provider, BMC serves many markets throughout the United States and leverages our national presence to offer the innovative products that our customers demand and delivered with our focused attention to on time, in full.
 
Achieving our mission requires great people who are bright, creative, and energetic and we look forward to delighting our customers with each and every opportunity.    You can  find a comprehensive listing of all our employment opportunities at WeAreBMC.com",,,,
1407759,2223779,2017-11-01,"Biodel Inc.",337,28,https://www.linkedin.com/company/140960,Biotechnology,"2017-11-01 08:45:42+00","2017-11-01 08:45:42+00","Biodel Inc. is a specialty biopharmaceutical company focused on the development and commercialization of innovative treatments for diabetes that may be safer, more effective and more convenient for patients.  We develop our product candidates by applying our proprietary formulation technologies to existing drugs in order to improve their therapeutic profiles.  For further information regarding Biodel, please visit the company's website at www.biodel.com.",,,,
1407784,2211759,2017-11-01,Sealy,5655,893,https://www.linkedin.com/company/14485,Furniture,"2017-11-01 08:49:49+00","2017-11-01 08:49:49+00",,,,,
1407786,2015478,2017-11-01,"SoCore Energy",2630,75,https://www.linkedin.com/company/677385,"Renewables & Environment","2017-11-01 01:11:37+00","2017-11-01 01:11:37+00","SoCore Energy (www.SoCoreEnergy.com) is a market leader in commercial, industrial and distributed solar portfolio development. With hundreds of solar solutions designed and installed across 19 states, SoCore offers commercial customers, electric cooperatives and municipalities, portfolio-wide solar solutions that provide energy cost savings, price stability and carbon reduction opportunities. As a wholly owned subsidiary of Edison International, SoCore combines Edison’s Fortune 500 stability with entrepreneurial creativity in order to provide energy solutions that our customers genuinely want and need.

SoCore Energy is not the same company as Southern California Edison, the utility, and is not regulated by the California Public Utilities Commission.",,,,
1407800,2132987,2017-11-01,CashNetUSA,86,0,https://www.linkedin.com/company/5212673,"Financial Services","2017-11-01 03:37:19+00","2017-11-01 03:37:19+00","When you need cash for emergency expenses, CashNetUSA has you covered. For 10 years, customers have chosen our loan products to meet their financial obligations. With CashNetUSA, money’s on the way!",,,,
1407809,2025543,2017-11-01,"CENTURY 21®",64746,26062,https://www.linkedin.com/company/3347,"Real Estate","2017-11-01 00:25:16+00","2017-11-01 00:25:16+00","The CENTURY 21® System provides brand marks, marketing, communications and innovative technology solutions that help enable its franchisees and their independent agents to attract and engage prospects, nurture customers, and deliver a positive real estate transaction experience.

CENTURY 21 Real Estate is recognized as a leader in e-marketing and has received numerous awards.

The CENTURY 21® System is actively increasing its presence and market share in the U.S. and globally, with international operations in over 75 countries encompassing Europe, Latin America, The Middle East and Asia. Contact us to learn more about bringing the most recognized name brand in real estate to select markets in the US or countries and territories abroad!

Become an Agent: http://www.century21.com/careerfranchise/real-estate-career/apply-now

Franchise with CENTURY 21: http://www.century21.com/careerfranchise/franchise/overview

Century 21 Real Estate LLC is a subsidiary of Realogy Corporation.",,,,
1407821,2142273,2017-11-01,"Ignis ASA",229,11,https://www.linkedin.com/company/46956,Telecommunications,"2017-11-01 04:38:49+00","2017-11-01 04:38:49+00","Ignis ASA is an innovative provider of optical components and network solutions for fiber-optic communications. The company operates globally through four subsidiaries; Fi-ra Photonics in Korea (71.8% owned) and the wholly-owned companies Syntune in Sweden, Ignis Photonyx in Denmark, and SmartOptics in Norway. The product and services portfolio comprises passive optical components like optical chips, splitters and multiplexers, active optical components such as tunable lasers and modulators, and WDM-based solutions enabling the building of simple and cost effective high-capacity optical networks. Headquartered in Oslo, Norway, Ignis ASA is listed on the Oslo Stock Exchange under the OSE ticker IGNIS.",,,,
1407822,2032782,2017-11-01,"Autohome Inc (NYSE: ATHM)",4818,2332,https://www.linkedin.com/company/3830528,Internet,"2017-11-01 01:10:21+00","2017-11-01 01:10:21+00","Autohome Inc. is the leading online destination for automobile consumers in China. Through our two websites, autohome.com.cn and che168.com, we provide comprehensive, independent and interactive content to automobile buyers and owners. 

Autohome.com.cn ranked first among China's automotive websites and automotive channels of internet portals in terms of average daily unique visitors, average daily time spent per user and average daily page views in 2013, according to iResearch, a third-party research firm. 

Our ability to reach a large and engaged user base of automobile consumers has made us the preferred platform for automakers and dealers to conduct their advertising campaigns. Automakers typically utilize our advertising services for brand promotion, new model releases and sales promotions. Our dealer subscription services allow dealers to market their inventory and services through our websites, extending the reach of their physical showrooms to potentially millions of internet users in China.",,,,
