prime_key,dataset_id,time,username,checkins,has_added_app,were_here_count,likes,talking_about_count,facebook_id,date_added,date_updated,entity_id,cusip,isin
43,53196,"2015-01-01 05:00:00+00",ADT,0,f,0,371739,12466,40851522417,,"2017-02-14 04:04:18.665254+00",,,
44,53490,"2015-01-01 05:00:00+00",MurphyUSA,0,f,45898,131376,820,53034719964,,"2017-02-14 06:33:48.387122+00",,,
45,53575,"2015-01-01 05:00:00+00",bancosantander,0,f,0,108592,1327,164700433551414,,"2017-02-14 07:27:20.957313+00",,,
46,53126,"2015-01-01 05:00:00+00",TiVo,0,f,0,188667,3067,7236260177,,"2017-02-14 03:42:36.175023+00",,,
47,53036,"2015-01-01 05:00:00+00",RFMDMedia,226,f,226,291,0,141254615965988,,"2017-02-14 03:24:52.247059+00",,,
48,52859,"2015-01-01 05:00:00+00",ICFInternational,372,f,372,5175,55,200126230245,,"2017-02-14 02:44:37.41298+00",,,
49,52626,"2015-01-01 05:00:00+00",AppliedGeneticTechnologiesCorporation,1,f,0,63,5,112261325504270,,"2017-02-14 01:54:16.589337+00",,,
50,52764,"2015-01-01 05:00:00+00",Amdocs,0,f,0,14395,70,73620441975,,"2017-02-14 02:18:34.189792+00",,,
51,53643,"2015-01-01 05:00:00+00",VPGinc,0,f,0,367,14,277579682272039,,"2017-02-14 08:07:14.659119+00",,,
52,53455,"2015-01-01 05:00:00+00",Lennox,298,f,0,149874,2314,185981734775939,,"2017-02-14 06:16:29.303033+00",,,
53,53190,"2015-01-01 05:00:00+00",AbbVieCareers,97,f,0,5196,46,262580237195810,,"2017-02-14 03:57:22.966128+00",,,
54,53611,"2015-01-01 05:00:00+00",Total,5,f,0,2273219,89647,148758255215603,,"2017-02-14 07:49:32.86718+00",,,
55,53058,"2015-01-01 05:00:00+00",SabreCorporation,525,f,525,3137,76,192964184057627,,"2017-02-14 03:28:12.871071+00",,,
56,52818,"2015-01-01 05:00:00+00",Farmersbankgroup,19,f,19,427,11,207008199390501,,"2017-02-14 02:31:03.167013+00",,,
57,53016,"2015-01-01 05:00:00+00",powerintegrations,35,f,0,755,37,116882680454,,"2017-02-14 03:21:22.228561+00",,,
58,53574,"2015-01-01 05:00:00+00",rexnordcorporate,4,f,0,91,2,265907883604789,,"2017-02-14 07:26:48.114906+00",,,
59,53411,"2015-01-01 05:00:00+00",HFRecipes,59,f,59,63274,73,138152319583085,,"2017-02-14 05:47:41.167077+00",,,
60,52781,"2015-01-01 05:00:00+00",EFI.Digital.Print.Technology,75,f,75,3514,160,89600902058,,"2017-02-14 02:21:43.60303+00",,,
61,53011,"2015-01-01 05:00:00+00",childrensplace,836,f,0,1768351,3404,46687203018,,"2017-02-14 03:20:32.541771+00",,,
62,53045,"2015-01-01 05:00:00+00",ResourcesGlobalProfessionals,33,f,0,33273,200,106811605379,,"2017-02-14 03:26:16.38889+00",,,
63,52987,"2015-01-01 05:00:00+00",omaplaza,470,f,470,125119,1713,131080143634858,,"2017-02-14 03:14:57.638396+00",,,
64,52632,"2015-01-01 05:00:00+00",AlimeraSciences,1,f,1,149,1,157175917626317,,"2017-02-14 01:54:41.576634+00",,,
65,52876,"2015-01-01 05:00:00+00",ProfessionalDiversityNetwork,0,f,0,1496,12,381325288570537,,"2017-02-14 02:48:10.734909+00",,,
66,53228,"2015-01-01 05:00:00+00",AshlandInc,282,f,282,1269,27,9492872974,,"2017-02-14 04:10:41.256778+00",,,
67,52741,"2015-01-01 05:00:00+00",CCMoissanite,0,f,0,70062,395,28831422670,,"2017-02-14 02:13:00.355024+00",,,
68,52835,"2015-01-01 05:00:00+00",GreenBankNA,127,f,127,284,5,334342856722377,,"2017-02-14 02:36:13.167023+00",,,
69,52866,"2015-01-01 05:00:00+00",rocklandtrust,59,f,0,3785,69,161526071000,,"2017-02-14 02:46:50.634102+00",,,
70,52898,"2015-01-01 05:00:00+00",Kraft,0,f,0,36953,379,357683090983454,,"2017-02-14 02:51:53.191079+00",,,
71,52804,"2015-01-01 05:00:00+00",FAROeu,0,f,0,1492,4,121216661248715,,"2017-02-14 02:28:13.437951+00",,,
72,52872,"2015-01-01 05:00:00+00",Identiv,11,f,11,339,7,158856254141156,,"2017-02-14 02:47:40.771282+00",,,
73,53531,"2015-01-01 05:00:00+00",PennyMacUSA,525,f,0,13823,45,136765793043555,,"2017-02-14 07:09:09.879035+00",,,
74,53386,"2015-01-01 05:00:00+00",GerdauSa,0,f,0,42593,1025,388239611278130,,"2017-02-14 05:29:16.880693+00",,,
75,53430,"2015-01-01 05:00:00+00",MotionConceptsRehab,0,f,0,173,30,632603413437289,,"2017-02-14 06:00:44.876225+00",,,
76,53638,"2015-01-01 05:00:00+00",valeroenergy,2005,f,2005,28324,429,139413942810476,,"2017-02-14 08:06:26.743125+00",,,
77,52612,"2015-01-01 05:00:00+00",walmart,14428,f,9481876,34955584,38282,159616034235,,"2017-02-14 08:11:53.878994+00",,,
78,52877,"2015-01-01 05:00:00+00",IridiumComm,0,f,0,2256,31,124452984253095,,"2017-02-14 02:48:27.167109+00",,,
79,52984,"2015-01-01 05:00:00+00",oculusis,0,f,0,33,1,163416107151185,,"2017-02-14 03:14:28.103032+00",,,
80,53453,"2015-01-01 05:00:00+00",KapstonePaper,15,f,0,462,2,115433288539164,,"2017-02-14 06:12:16.795767+00",,,
81,53349,"2015-01-01 05:00:00+00",Engility,41,f,41,1062,9,297043857047159,,"2017-02-14 04:53:18.879159+00",,,
82,53418,"2015-01-01 05:00:00+00",Explore.IHS,390,f,0,3223,24,176230689101788,,"2017-02-14 05:56:02.081975+00",,,
83,53594,"2015-01-01 05:00:00+00",petropoints,0,f,0,50890,650,87036295861,,"2017-02-14 07:41:50.017852+00",,,
84,53399,"2015-01-01 05:00:00+00",HarteHanks,71,f,0,2168,9,111957612374,,"2017-02-14 05:41:56.316089+00",,,
85,53539,"2015-01-01 05:00:00+00",pncbank,1481,f,0,185763,1996,224986157558341,,"2017-02-14 07:12:45.66018+00",,,
86,53655,"2015-01-01 05:00:00+00",willisgroup,843,f,843,3152,48,121069787955805,,"2017-02-14 03:53:06.627033+00",,,
87,53063,"2015-01-01 05:00:00+00",starbucksindia,43150,f,0,338964,33880,412938118755623,,"2017-02-14 03:29:11.114983+00",,,
88,53553,"2015-01-01 05:00:00+00",Q2ebanking,0,f,0,621,57,135188573161281,,"2017-02-14 07:19:26.002873+00",,,
89,53143,"2015-01-01 05:00:00+00",unitedcommunitybankIN,2,f,2,673,75,465399433563098,,"2017-02-14 03:46:57.739398+00",,,
90,52846,"2015-01-01 05:00:00+00",HibbettSports,461,f,25255,533788,678,352375298486,,"2017-02-14 02:40:33.714416+00",,,
91,52794,"2015-01-01 05:00:00+00",Equinix,440,f,440,35130,425,81022497770,,"2017-02-14 02:24:37.90704+00",,,
92,53648,"2015-01-01 05:00:00+00",WageWorks,42,f,0,1112,32,172509042856430,,"2017-02-14 08:09:01.109156+00",,,
93,53372,"2015-01-01 05:00:00+00",flowserve,0,f,0,4329,26,127907090803,,"2017-02-14 05:09:32.685443+00",,,
94,53586,"2015-01-01 05:00:00+00",Sequans,4,f,4,204,2,162210927202472,,"2017-02-14 07:40:16.467012+00",,,
95,53366,"2015-01-01 05:00:00+00",AsocBancosPR,0,f,0,3306,7,414151891952387,,"2017-02-14 05:04:33.243329+00",,,
96,53409,"2015-01-01 05:00:00+00",HeartlandHPY,11,f,0,7447,73,144860816679,,"2017-02-14 05:46:51.899037+00",,,
97,53630,"2015-01-01 05:00:00+00",USGCORP,191,f,191,8010,165,106301488018,,"2017-02-14 08:02:05.958077+00",,,
98,53051,"2015-01-01 05:00:00+00",RoviCorp,0,f,0,2402,7,88253917154,,"2017-02-14 03:42:27.187216+00",,,
99,53603,"2015-01-01 05:00:00+00",Teradata,148,f,148,9961,93,99985377449,,"2017-02-14 07:45:16.247016+00",,,
100,52982,"2015-01-01 05:00:00+00",newscorp,715,f,0,2624,15,137273063145715,,"2017-02-14 03:13:56.990963+00",,,
101,53118,"2015-01-01 05:00:00+00",transgenomiclab,7,f,7,152,3,335650333183167,,"2017-02-14 03:40:55.548098+00",,,
102,53321,"2015-01-01 05:00:00+00",delta,17425,f,2416594,1394230,19121,125472670805257,,"2017-02-14 04:44:12.697526+00",,,
103,53392,"2015-01-01 05:00:00+00",GranayMontero,0,f,0,48157,905,246189168824128,,"2017-02-14 05:36:12.770975+00",,,
104,53192,"2015-01-01 05:00:00+00",Abbott,0,f,0,6158,2141,325742687481903,,"2017-02-14 04:01:06.923884+00",,,
105,52641,"2015-01-01 05:00:00+00",angieslist,280,f,0,173750,1959,124530575634,,"2017-02-14 01:55:49.262596+00",,,
106,53288,"2015-01-01 05:00:00+00",MackCaliRC,31,f,0,296,14,180333945358382,,"2017-02-14 04:33:26.675226+00",,,
107,53124,"2015-01-01 05:00:00+00",TopImageSystems,88,f,88,407,110,271224462911764,,"2017-02-14 03:42:10.459057+00",,,
108,53103,"2015-01-01 05:00:00+00",StreamlineHealthSolutions,3,f,3,58,1,154374801379585,,"2017-02-14 03:38:39.083026+00",,,
109,53130,"2015-01-01 05:00:00+00",TRANSCAT,0,f,0,164,6,101429099913349,,"2017-02-14 03:44:51.315085+00",,,
110,53312,"2015-01-01 05:00:00+00",CubeSmart,0,f,2807,15971,363,180098132044828,,"2017-02-14 04:42:53.554559+00",,,
111,53010,"2015-01-01 05:00:00+00",premierhealthcarealliance,199,f,0,1438,40,102403146484309,,"2017-02-14 03:20:17.687085+00",,,
112,52660,"2015-01-01 05:00:00+00",BlackBerry,0,f,0,30487577,39291,13004060847,,"2017-02-14 01:58:13.946316+00",,,
113,52991,"2015-01-01 05:00:00+00",OreillyAutoParts,0,f,104700,544772,20824,232779790392,,"2017-02-14 03:15:45.623188+00",,,
114,52628,"2015-01-01 05:00:00+00",AkamaiTechnologies,0,f,0,211005,2714,6918186981,,"2017-02-14 01:54:27.766021+00",,,
115,52803,"2015-01-01 05:00:00+00",SecondSightArgus,8,f,8,455,18,604992102913386,,"2017-02-14 02:28:02.46166+00",,,
116,53569,"2015-01-01 05:00:00+00",RangeResourcesCorporation,12,f,0,10646,132,598890086837840,,"2017-02-14 07:25:44.335261+00",,,
117,53322,"2015-01-01 05:00:00+00",DanaHoldingCorp,111,f,111,1072,61,272979756076926,,"2017-02-14 04:44:22.467772+00",,,
118,53517,"2015-01-01 05:00:00+00",OGEpower,665,f,665,7892,105,140575570964,,"2017-02-14 07:01:23.099035+00",,,
119,53004,"2015-01-01 05:00:00+00",pegasystems,0,f,0,5011,33,186176711421,,"2017-02-14 03:19:03.811035+00",,,
120,53403,"2015-01-01 05:00:00+00",HiltonWorldwide,462,f,462,43421,690,216648095021122,,"2017-02-14 05:43:50.462306+00",,,
121,53018,"2015-01-01 05:00:00+00",perficient,13,f,0,1366,88,164359528501,,"2017-02-14 03:21:35.683017+00",,,
122,53350,"2015-01-01 05:00:00+00",engineeringcom,0,f,0,1488517,18022,170493032282,,"2017-02-14 04:53:29.45502+00",,,
123,53354,"2015-01-01 05:00:00+00",EastmanChemicalCo,0,f,0,3470,81,136850475343,,"2017-02-14 04:54:39.758539+00",,,
124,53609,"2015-01-01 05:00:00+00",taylormorrison,0,f,0,26524,6382,187787475178,,"2017-02-14 07:48:55.537516+00",,,
125,52638,"2015-01-01 05:00:00+00",amyris.inc,138,f,138,697,9,159091060815428,,"2017-02-14 01:55:20.36692+00",,,
126,53463,"2015-01-01 05:00:00+00",lifetimefitness,0,f,2273401,191641,4087,36652463083,,"2017-02-14 06:19:37.279161+00",,,
127,52928,"2015-01-01 05:00:00+00",marronebio,48,f,0,521,16,155721259015,,"2017-02-14 02:59:19.899912+00",,,
128,52850,"2015-01-01 05:00:00+00",HologicJobs,0,f,0,1011,3,294333731568,,"2017-02-14 02:41:09.023457+00",,,
129,53592,"2015-01-01 05:00:00+00",suntrust,0,f,0,46533,3650,167890209688,,"2017-02-14 07:41:24.847008+00",,,
130,52855,"2015-01-01 05:00:00+00",InteractiveBrokers,76,f,0,20401,84,198624790161286,,"2017-02-14 02:44:07.094877+00",,,
131,53497,"2015-01-01 05:00:00+00",nautilus,0,f,0,766,21,261916434476,,"2017-02-14 06:54:27.45503+00",,,
132,52824,"2015-01-01 05:00:00+00",fusionconnect,22,f,22,110,2,212785808749265,,"2017-02-14 02:32:37.177646+00",,,
133,52634,"2015-01-01 05:00:00+00",alteracorp,713,f,713,51609,93,131487897686,,"2017-02-14 02:47:11.984092+00",,,
134,53618,"2015-01-01 05:00:00+00",TysonFoods,1512,f,0,135719,745,205200659535460,,"2017-02-14 07:55:11.326995+00",,,
135,53267,"2015-01-01 05:00:00+00",BancorpSouthStudents,0,f,0,10543,90,60051181024,,"2017-02-14 04:24:29.871044+00",,,
136,53223,"2015-01-01 05:00:00+00",Aramark,1215,f,0,33171,703,108418935969656,,"2017-02-14 04:09:46.90947+00",,,
137,53109,"2015-01-01 05:00:00+00",SusquehannaBank,152,f,0,18009,313,185611764843165,,"2017-02-14 03:39:26.223118+00",,,
138,53039,"2015-01-01 05:00:00+00",pizzainn,0,f,43947,45542,425,218037391473,,,,,
139,53529,"2015-01-01 05:00:00+00",PepsiCo,7006,f,7006,125304,2680,260431051694,,"2017-02-14 07:07:45.359051+00",,,
140,52650,"2015-01-01 05:00:00+00",AstrotechCorp,0,f,0,2028,225,190231990999136,,"2017-02-14 01:57:04.857026+00",,,
141,53383,"2015-01-01 05:00:00+00",GUESS,8123,f,45523,6531257,74963,44409632681,,"2017-02-14 05:28:41.143667+00",,,
142,53365,"2015-01-01 05:00:00+00",First.American.Financial,1038,f,0,2291,22,153611491317031,,"2017-02-14 05:03:32.235129+00",,,
143,52637,"2015-01-01 05:00:00+00",AmedicaCorporation,7,f,7,74,0,312358098828038,,"2017-02-14 01:55:15.866447+00",,,
144,52731,"2015-01-01 05:00:00+00",Crocs,19,f,0,3077454,14777,13411611241,,"2017-02-14 02:10:39.819073+00",,,
145,53049,"2015-01-01 05:00:00+00",realnetworks,381,f,0,8721,41,191444097562417,,"2017-02-14 03:27:02.655209+00",,,
146,53062,"2015-01-01 05:00:00+00",EchoStar,286,f,0,1238,44,64855276180,,"2017-02-14 03:28:52.931071+00",,,
147,53590,"2015-01-01 05:00:00+00",UncleBobs,163,f,163,20714,438,138368528675,,"2017-02-14 06:19:25.369168+00",,,
148,53580,"2015-01-01 05:00:00+00",SmartFinal,299,f,7610,27636,145,142418992438385,,"2017-02-14 07:32:13.84384+00",,,
149,52790,"2015-01-01 05:00:00+00",EntegrisInc,55,f,55,391,44,163992667054083,,"2017-02-14 02:24:15.10703+00",,,
150,52927,"2015-01-01 05:00:00+00",mbfinancialbank,98,f,98,14956,27,131068030830,,"2017-02-14 02:59:11.771167+00",,,
151,53579,"2015-01-01 05:00:00+00",safeguardscientifics,5,f,5,2479,0,228888490488742,,"2017-02-14 07:32:03.279057+00",,,
152,52890,"2015-01-01 05:00:00+00",joesjeans,0,f,0,74593,362,163947776970702,,"2017-02-14 03:36:49.062186+00",,,
153,53384,"2015-01-01 05:00:00+00",gafisa,1023,f,0,200361,475,128815817149153,,"2017-02-14 05:28:51.13286+00",,,
154,53545,"2015-01-01 05:00:00+00",PROSInc,81,f,81,1180,2,177217659055730,,"2017-02-14 07:16:47.783076+00",,,
155,52696,"2015-01-01 05:00:00+00",AlloMap,0,f,0,243,0,162551443769324,,"2017-02-14 02:03:09.177314+00",,,
156,52985,"2015-01-01 05:00:00+00",OldDominionFreightLine,535,f,0,124610,3714,190667247705315,,"2017-02-14 03:14:37.855124+00",,,
157,52998,"2015-01-01 05:00:00+00",panamericansilver,3,f,3,151,10,480374182098682,,"2017-02-14 03:17:31.834255+00",,,
158,53035,"2015-01-01 05:00:00+00",qualys,0,f,0,2091,23,130236543656702,,"2017-02-14 03:24:23.552151+00",,,
159,53188,"2015-01-01 05:00:00+00",advanceautoparts,2987,f,207395,1546021,8665,155079021200810,,"2017-02-14 03:57:06.08659+00",,,
160,53496,"2015-01-01 05:00:00+00",nike,5301,f,58990,22577182,49399,15087023444,,"2017-02-14 06:54:13.535479+00",,,
161,52769,"2015-01-01 05:00:00+00",dexcom,598,f,0,14949,187,167972293248610,,"2017-02-14 02:19:41.683721+00",,,
162,52840,"2015-01-01 05:00:00+00",gopro,0,f,0,8322026,154251,50043151918,,"2017-02-14 02:38:36.183054+00",,,
163,53457,"2015-01-01 05:00:00+00",lumberliquidators,255,f,0,93954,25492,44663724981,,"2017-02-14 06:16:53.615082+00",,,
164,53568,"2015-01-01 05:00:00+00",ROKAutomation,0,f,0,42670,1123,124143427634102,,"2017-02-14 07:24:29.233602+00",,,
165,53345,"2015-01-01 05:00:00+00",Encana,170,f,0,119236,861,126558044036983,,"2017-02-14 04:52:25.355293+00",,,
166,52826,"2015-01-01 05:00:00+00",FrontierCorp,53,f,0,115765,2730,92140217194,,"2017-02-14 02:33:42.459036+00",,,
167,53236,"2015-01-01 05:00:00+00",axiallcorp,728,f,0,534,17,540970195921380,,"2017-02-14 08:11:33.027114+00",,,
168,52929,"2015-01-01 05:00:00+00",mirelbioplastics,0,f,0,218,4,102789803140251,,"2017-02-14 03:55:11.734546+00",,,
169,52675,"2015-01-01 05:00:00+00",BrooksAutomationInc,3,f,3,37,1,567999543226045,,"2017-02-14 02:00:43.447876+00",,,
170,52807,"2015-01-01 05:00:00+00",FairchildSemiconductor,0,f,0,3868,31,36887783634,,"2017-02-14 03:15:15.411117+00",,,
171,53129,"2015-01-01 05:00:00+00",TrimbleCorporate,20,f,20,1979,70,286784518062414,,"2017-02-14 03:44:42.469562+00",,,
172,53554,"2015-01-01 05:00:00+00",riteaid,0,f,0,710378,3178,115568331790246,,"2017-02-14 07:20:11.588203+00",,,
173,53346,"2015-01-01 05:00:00+00",ecolab,0,f,0,5550,27,170139253055959,,"2017-02-14 04:52:34.849298+00",,,
174,52849,"2015-01-01 05:00:00+00",HookerFurniture,0,f,0,51565,550,72005958558,,"2017-02-14 02:41:01.346947+00",,,
175,53303,"2015-01-01 05:00:00+00",charlesriverlabs,16,f,0,11485,48,269480609742893,,"2017-02-14 04:39:38.73911+00",,,
176,53158,"2015-01-01 05:00:00+00",verint,49,f,49,2179,35,170373201361,,"2017-02-14 03:50:42.703027+00",,,
177,53642,"2015-01-01 05:00:00+00",VINCESAYS,0,f,0,79381,486,132541373148,,"2017-02-14 08:06:57.137242+00",,,
178,53112,"2015-01-01 05:00:00+00",IamSYKES,277,f,277,7735,18,232023536820269,,"2017-02-14 03:39:52.578053+00",,,
179,52894,"2015-01-01 05:00:00+00",Kforce,1039,f,0,12723,101,186476597388,,"2017-02-14 02:51:40.217482+00",,,
180,53407,"2015-01-01 05:00:00+00",khovnanianhomes,0,f,0,3513,20,23914057886,,"2017-02-14 05:46:19.746959+00",,,
181,53021,"2015-01-01 05:00:00+00",cafepress,0,f,0,612191,1818,11599692403,,"2017-02-14 03:22:26.013333+00",,,
182,53136,"2015-01-01 05:00:00+00",2u,699,f,699,3551,128,69347890321,,"2017-02-14 03:46:03.750965+00",,,
183,52645,"2015-01-01 05:00:00+00",ArcGroupWorldwide,0,f,0,36,1,189430017911239,,"2017-02-14 01:56:28.157195+00",,,
184,53584,"2015-01-01 05:00:00+00",SmithNephewPlc,15,f,15,1283,42,439754612739466,,"2017-02-14 07:38:39.965407+00",,,
185,53341,"2015-01-01 05:00:00+00",DSW,2212,f,161235,2518723,2737,154617644305,,"2017-02-14 04:51:28.767035+00",,,
186,53220,"2015-01-01 05:00:00+00",AnadarkoPetroleumCorporation,1041,f,0,20128,653,226675074046377,,"2017-02-14 04:09:17.276711+00",,,
187,52681,"2015-01-01 05:00:00+00",BaldwinandLyons,70,f,70,138,16,200028096828467,,"2017-02-14 02:01:21.828343+00",,,
188,53400,"2015-01-01 05:00:00+00",TheHartford,694,f,0,120296,5393,221453995400,,"2017-02-14 05:42:07.772872+00",,,
189,52923,"2015-01-01 05:00:00+00",merrimackpharma,74,f,74,567,1,108321198169,,"2017-02-14 02:57:29.286181+00",,,
190,53077,"2015-01-01 05:00:00+00",savingsinstitute,20,f,20,562,21,211781928925578,,"2017-02-14 03:33:15.967029+00",,,
191,53440,"2015-01-01 05:00:00+00",KBHome,0,f,0,29719,1417,145915018803077,,"2017-02-14 06:06:20.911094+00",,,
192,53379,"2015-01-01 05:00:00+00",ProudToBeGenpact,0,f,0,79584,237,180770375305990,,"2017-02-14 05:13:33.987058+00",,,
193,53522,"2015-01-01 05:00:00+00",oshkoshcorporation,15,f,0,981,40,607180465997576,,"2017-02-14 07:03:12.131031+00",,,
194,53434,"2015-01-01 05:00:00+00",JamesHardieBP,0,f,0,18397,75,80489164703,,"2017-02-14 06:03:50.247302+00",,,
195,52823,"2015-01-01 05:00:00+00",FSGBank,108,f,0,969,28,146810022044384,,"2017-02-14 01:53:38.919493+00",,,
196,53501,"2015-01-01 05:00:00+00",NationalOilwellVarco,125,f,125,6319,828,191202614385525,,"2017-02-14 06:57:44.827054+00",,,
197,53616,"2015-01-01 05:00:00+00",TenarisEvents,310,f,310,15540,288,199911720042854,,"2017-02-14 07:54:59.543576+00",,,
198,52668,"2015-01-01 05:00:00+00",BIRT,0,f,0,72271,2322,32081268885,,"2017-02-14 03:16:26.147122+00",,,
199,53426,"2015-01-01 05:00:00+00",IngersollRandplc,0,f,0,2519,42,378084314984,,"2017-02-14 05:59:43.255612+00",,,
200,52740,"2015-01-01 05:00:00+00",CTGinc,143,f,0,1973,22,130198158952,,"2017-02-14 02:12:49.432542+00",,,
201,52796,"2015-01-01 05:00:00+00",ESBBankFinancialCorp,9,f,0,894,4,541477829306287,,"2017-02-14 03:53:42.162301+00",,,
202,52719,"2015-01-01 05:00:00+00",ColumbiaSportswear,0,f,0,659368,13148,34296534191,,"2017-02-14 02:07:39.200263+00",,,
203,53385,"2015-01-01 05:00:00+00",Goldcorp,70,f,70,5157,123,124946056577,,"2017-02-14 05:29:05.407058+00",,,
